Date,Ottawa,Quebec,Manitoba,Alberta
2/10/2020,1,,,
2/11/2020,1,,,
2/12/2020,1,,,
2/13/2020,1,,,
2/14/2020,1,,,
2/15/2020,1,,,
2/16/2020,1,,,
2/17/2020,1,,,
2/18/2020,1,,,
2/19/2020,1,,,
2/20/2020,1,,,
2/21/2020,1,,,
2/22/2020,1,,,
2/23/2020,1,,,
2/24/2020,1,,,
2/25/2020,1,,,
2/26/2020,1,,,
2/27/2020,1,,,
2/28/2020,1,,,
2/29/2020,1,,,
3/1/2020,1,,,
3/2/2020,1,,,
3/3/2020,1,,,
3/4/2020,1,,,
3/5/2020,1,,,
3/6/2020,1,4,,
3/7/2020,1,2,,
3/8/2020,1,3,,0
3/9/2020,1,3,,1
3/10/2020,1,6,,1
3/11/2020,1,7,,1
3/12/2020,1,3,,1
3/13/2020,1,5,,3
3/14/2020,2,5,,3
3/15/2020,2,6,,3
3/16/2020,2,3,,4
3/17/2020,4,8,,4
3/18/2020,3,8,,9
3/19/2020,7,11,,7
3/20/2020,10,14,,7
3/21/2020,10,11,,9
3/22/2020,13,22,,10
3/23/2020,17,22,,12
3/24/2020,19,29,,18
3/25/2020,22,31,,22
3/26/2020,24,47,,22
3/27/2020,26,30,,21
3/28/2020,25,32,,23
3/29/2020,31,51,,25
3/30/2020,32,63,,25
3/31/2020,34,58,,24
4/1/2020,33,70,,21
4/2/2020,34,59,,23
4/3/2020,37,70,,26
4/4/2020,43,73,,27
4/5/2020,43,59,,24
4/6/2020,44,79,,27
4/7/2020,45,100,,30
4/8/2020,44,88,,33
4/9/2020,47,92,,35
4/10/2020,49,88,,37
4/11/2020,53,82,,36
4/12/2020,49,87,,35
4/13/2020,51,77,,35
4/14/2020,50,116,,33
4/15/2020,50,117,,42
4/16/2020,52,98,,45
4/17/2020,49,118,,49
4/18/2020,46,95,,40
4/19/2020,47,88,,43
4/20/2020,45,97,,44
4/21/2020,43,141,,41
4/22/2020,45,109,,45
4/23/2020,48,88,,47
4/24/2020,48,102,,48
4/25/2020,48,69,,51
4/26/2020,50,101,,55
4/27/2020,56,98,,58
4/28/2020,61,106,,56
4/29/2020,62,99,,64
4/30/2020,56,106,,67
5/1/2020,57,106,,58
5/2/2020,57,75,,65
5/3/2020,52,93,33,63
5/4/2020,52,87,33,62
5/5/2020,50,89,33,64
5/6/2020,52,88,33,60
5/7/2020,54,93,33,60
5/8/2020,54,66,33,56
5/9/2020,52,70,33,49
5/10/2020,53,68,33,52
5/11/2020,52,80,33,52
5/12/2020,52,72,33,53
5/13/2020,48,69,33,51
5/14/2020,45,59,33,47
5/15/2020,44,77,33,42
5/16/2020,42,55,33,40
5/17/2020,42,61,33,40
5/18/2020,43,49,33,40
5/19/2020,40,51,33,35
5/20/2020,41,63,33,36
5/21/2020,38,65,33,36
5/22/2020,36,57,33,32
5/23/2020,35,47,33,28
5/24/2020,36,44,33,27
5/25/2020,35,39,33,28
5/26/2020,35,53,33,28
5/27/2020,33,44,33,27
5/28/2020,31,38,33,28
5/29/2020,32,42,33,27
5/30/2020,31,31,33,20
5/31/2020,34,33,33,18
6/1/2020,31,41,33,18
6/2/2020,26,20,33,19
6/3/2020,22,31,33,14
6/4/2020,20,25,33,14
6/5/2020,21,31,33,13
6/6/2020,21,26,33,13
6/7/2020,20,26,33,15
6/8/2020,19,18,33,14
6/9/2020,18,20,33,11
6/10/2020,17,19,33,11
6/11/2020,16,23,33,11
6/12/2020,16,26,33,14
6/13/2020,16,14,33,12
6/14/2020,16,9,33,13
6/15/2020,14,15,33,17
6/16/2020,14,14,33,20
6/17/2020,6,17,33,20
6/18/2020,6,14,33,23
6/19/2020,5,19,33,23
6/20/2020,5,15,33,20
6/21/2020,4,12,33,22
6/22/2020,1,11,33,20
6/23/2020,1,8,33,21
6/24/2020,2,13,33,19
6/25/2020,2,13,33,21
6/26/2020,2,16,33,24
6/27/2020,1,11,33,24
6/28/2020,1,10,33,23
6/29/2020,3,10,33,23
6/30/2020,3,13,33,24
7/1/2020,3,10,33,22
7/2/2020,3,7,33,24
7/3/2020,3,11,33,30
7/4/2020,3,8,33,39
7/5/2020,2,3,33,40
7/6/2020,2,4,33,41
7/7/2020,1,10,33,40
7/8/2020,1,10,33,34
7/9/2020,2,12,33,32
7/10/2020,2,15,33,34
7/11/2020,2,12,33,32
7/12/2020,3,2,33,32
7/13/2020,3,6,33,42
7/14/2020,4,12,33,53
7/15/2020,5,12,33,56
7/16/2020,5,2,33,53
7/17/2020,5,8,33,61
7/18/2020,6,4,33,62
7/19/2020,6,5,37,61
7/20/2020,8,11,37,71
7/21/2020,8,9,37,76
7/22/2020,9,9,37,75
7/23/2020,10,3,37,72
7/24/2020,7,5,37,74
7/25/2020,7,6,37,65
7/26/2020,9,8,41,65
7/27/2020,10,11,41,67
7/28/2020,11,7,41,63
7/29/2020,12,12,41,64
7/30/2020,13,5,41,63
7/31/2020,14,4,41,62
8/1/2020,14,4,41,56
8/2/2020,14,2,46,57
8/3/2020,13,11,46,52
8/4/2020,12,3,46,45
8/5/2020,13,6,46,44
8/6/2020,12,8,46,38
8/7/2020,12,13,46,38
8/8/2020,13,2,46,38
8/9/2020,15,5,47,38
8/10/2020,15,8,47,35
8/11/2020,15,9,47,35
8/12/2020,13,4,47,37
8/13/2020,12,13,47,35
8/14/2020,13,8,47,33
8/15/2020,15,4,47,35
8/16/2020,15,5,48,38
8/17/2020,14,3,48,39
8/18/2020,11,10,48,37
8/19/2020,13,6,48,35
8/20/2020,12,4,48,31
8/21/2020,12,8,48,34
8/22/2020,13,5,48,36
8/23/2020,13,8,52,37
8/24/2020,14,4,52,39
8/25/2020,17,8,52,42
8/26/2020,17,8,52,44
8/27/2020,15,5,52,42
8/28/2020,15,5,52,37
8/29/2020,15,10,52,34
8/30/2020,16,6,59,37
8/31/2020,17,3,59,39
9/1/2020,17,7,59,42
9/2/2020,15,13,59,38
9/3/2020,13,9,59,38
9/4/2020,16,9,59,38
9/5/2020,18,9,59,37
9/6/2020,19,11,62,37
9/7/2020,17,12,62,38
9/8/2020,18,15,62,43
9/9/2020,17,12,62,40
9/10/2020,18,20,62,39
9/11/2020,17,12,62,40
9/12/2020,17,11,62,38
9/13/2020,16,11,64,36
9/14/2020,16,17,64,40
9/15/2020,17,7,64,38
9/16/2020,17,17,64,39
9/17/2020,17,9,64,43
9/18/2020,17,24,64,49
9/19/2020,16,15,64,47
9/20/2020,17,17,108,50
9/21/2020,18,24,108,50
9/22/2020,21,19,108,50
9/23/2020,22,20,108,51
9/24/2020,24,33,108,54
9/25/2020,27,40,108,55
9/26/2020,28,25,108,53
9/27/2020,29,22,128,58
9/28/2020,34,29,128,58
9/29/2020,33,39,128,57
9/30/2020,35,48,128,59
10/1/2020,34,33,128,55
10/2/2020,34,42,128,56
10/3/2020,37,42,128,58
10/4/2020,38,39,157,59
10/5/2020,39,42,157,60
10/6/2020,40,38,157,70
10/7/2020,42,41,157,78
10/8/2020,42,45,157,79
10/9/2020,43,45,157,79
10/10/2020,49,44,157,85
10/11/2020,52,37,,86
10/12/2020,52,34,,92
10/13/2020,51,43,,94
10/14/2020,51,37,,97
10/15/2020,54,42,,113
10/16/2020,52,39,,109
10/17/2020,55,37,,111
10/18/2020,53,39,265,108
10/19/2020,52,48,265,110
10/20/2020,50,52,265,104
10/21/2020,49,35,265,97
10/22/2020,49,51,265,99
10/23/2020,45,42,265,100
10/24/2020,45,27,265,99
10/25/2020,47,36,,100
10/26/2020,48,46,,106
10/27/2020,43,46,,106
10/28/2020,41,42,,117
10/29/2020,49,36,,119
10/30/2020,51,19,,116
10/31/2020,51,36,,123
11/01/2020,,34,,129
11/02/2020,,32,,136
11/03/2020,,45,,134
